idx_number,name,formatted_name
27403,Mean thickness of G+S-frontomargin (left hemisphere),lh_G_and_S_frontomargin
27404,Mean thickness of G+S-occipital-inf (left hemisphere),lh_G_and_S_occipital_inf
27405,Mean thickness of G+S-paracentral (left hemisphere),lh_G_and_S_paracentral
27406,Mean thickness of G+S-subcentral (left hemisphere),lh_G_and_S_subcentral
27407,Mean thickness of G+S-transv-frontopol (left hemisphere),lh_G_and_S_transv_frontopol
27408,Mean thickness of G+S-cingul-Ant (left hemisphere),lh_G_and_S_cingul_Ant
27409,Mean thickness of G+S-cingul-Mid-Ant (left hemisphere),lh_G_and_S_cingul_Mid_Ant
27410,Mean thickness of G+S-cingul-Mid-Post (left hemisphere),lh_G_and_S_cingul_Mid_Post
27411,Mean thickness of G-cingul-Post-dorsal (left hemisphere),lh_G_cingul_Post_dorsal
27412,Mean thickness of G-cingul-Post-ventral (left hemisphere),lh_G_cingul_Post_ventral
27413,Mean thickness of G-cuneus (left hemisphere),lh_G_cuneus
27414,Mean thickness of G-front-inf-Opercular (left hemisphere),lh_G_front_inf_Opercular
27415,Mean thickness of G-front-inf-Orbital (left hemisphere),lh_G_front_inf_Orbital
27416,Mean thickness of G-front-inf-Triangul (left hemisphere),lh_G_front_inf_Triangul
27417,Mean thickness of G-front-middle (left hemisphere),lh_G_front_middle
27418,Mean thickness of G-front-sup (left hemisphere),lh_G_front_sup
27419,Mean thickness of G-Ins-lg+S-cent-ins (left hemisphere),lh_G_Ins_lg_and_S_cent_ins
27420,Mean thickness of G-insular-short (left hemisphere),lh_G_insular_short
27421,Mean thickness of G-occipital-middle (left hemisphere),lh_G_occipital_middle
27422,Mean thickness of G-occipital-sup (left hemisphere),lh_G_occipital_sup
27423,Mean thickness of G-oc-temp-lat-fusifor (left hemisphere),lh_G_oc_temp_lat_fusifor
27424,Mean thickness of G-oc-temp-med-Lingual (left hemisphere),lh_G_oc_temp_med_Lingual
27425,Mean thickness of G-oc-temp-med-Parahip (left hemisphere),lh_G_oc_temp_med_Parahip
27426,Mean thickness of G-orbital (left hemisphere),lh_G_orbital
27427,Mean thickness of G-pariet-inf-Angular (left hemisphere),lh_G_pariet_inf_Angular
27428,Mean thickness of G-pariet-inf-Supramar (left hemisphere),lh_G_pariet_inf_Supramar
27429,Mean thickness of G-parietal-sup (left hemisphere),lh_G_parietal_sup
27430,Mean thickness of G-postcentral (left hemisphere),lh_G_postcentral
27431,Mean thickness of G-precentral (left hemisphere),lh_G_precentral
27432,Mean thickness of G-precuneus (left hemisphere),lh_G_precuneus
27433,Mean thickness of G-rectus (left hemisphere),lh_G_rectus
27434,Mean thickness of G-subcallosal (left hemisphere),lh_G_subcallosal
27435,Mean thickness of G-temp-sup-G-T-transv (left hemisphere),lh_G_temp_sup_G_T_transv
27436,Mean thickness of G-temp-sup-Lateral (left hemisphere),lh_G_temp_sup_Lateral
27437,Mean thickness of G-temp-sup-Plan-polar (left hemisphere),lh_G_temp_sup_Plan_polar
27438,Mean thickness of G-temp-sup-Plan-tempo (left hemisphere),lh_G_temp_sup_Plan_tempo
27439,Mean thickness of G-temporal-inf (left hemisphere),lh_G_temporal_inf
27440,Mean thickness of G-temporal-middle (left hemisphere),lh_G_temporal_middle
27441,Mean thickness of Lat-Fis-ant-Horizont (left hemisphere),lh_Lat_Fis_ant_Horizont
27442,Mean thickness of Lat-Fis-ant-Vertical (left hemisphere),lh_Lat_Fis_ant_Vertical
27443,Mean thickness of Lat-Fis-post (left hemisphere),lh_Lat_Fis_post
27444,Mean thickness of Pole-occipital (left hemisphere),lh_Pole_occipital
27445,Mean thickness of Pole-temporal (left hemisphere),lh_Pole_temporal
27446,Mean thickness of S-calcarine (left hemisphere),lh_S_calcarine
27447,Mean thickness of S-central (left hemisphere),lh_S_central
27448,Mean thickness of S-cingul-Marginalis (left hemisphere),lh_S_cingul_Marginalis
27449,Mean thickness of S-circular-insula-ant (left hemisphere),lh_S_circular_insula_ant
27450,Mean thickness of S-circular-insula-inf (left hemisphere),lh_S_circular_insula_inf
27451,Mean thickness of S-circular-insula-sup (left hemisphere),lh_S_circular_insula_sup
27452,Mean thickness of S-collat-transv-ant (left hemisphere),lh_S_collat_transv_ant
27453,Mean thickness of S-collat-transv-post (left hemisphere),lh_S_collat_transv_post
27454,Mean thickness of S-front-inf (left hemisphere),lh_S_front_inf
27455,Mean thickness of S-front-middle (left hemisphere),lh_S_front_middle
27456,Mean thickness of S-front-sup (left hemisphere),lh_S_front_sup
27457,Mean thickness of S-interm-prim-Jensen (left hemisphere),lh_S_interm_prim_Jensen
27458,Mean thickness of S-intrapariet+P-trans (left hemisphere),lh_S_intrapariet_and_P_trans
27459,Mean thickness of S-oc-middle+Lunatus (left hemisphere),lh_S_oc_middle_and_Lunatus
27460,Mean thickness of S-oc-sup+transversal (left hemisphere),lh_S_oc_sup_and_transversal
27461,Mean thickness of S-occipital-ant (left hemisphere),lh_S_occipital_ant
27462,Mean thickness of S-oc-temp-lat (left hemisphere),lh_S_oc_temp_lat
27463,Mean thickness of S-oc-temp-med+Lingual (left hemisphere),lh_S_oc_temp_med_and_Lingual
27464,Mean thickness of S-orbital-lateral (left hemisphere),lh_S_orbital_lateral
27465,Mean thickness of S-orbital-med-olfact (left hemisphere),lh_S_orbital_med_olfact
27466,Mean thickness of S-orbital-H-Shaped (left hemisphere),lh_S_orbital_H_Shaped
27467,Mean thickness of S-parieto-occipital (left hemisphere),lh_S_parieto_occipital
27468,Mean thickness of S-pericallosal (left hemisphere),lh_S_pericallosal
27469,Mean thickness of S-postcentral (left hemisphere),lh_S_postcentral
27470,Mean thickness of S-precentral-inf-part (left hemisphere),lh_S_precentral_inf_part
27471,Mean thickness of S-precentral-sup-part (left hemisphere),lh_S_precentral_sup_part
27472,Mean thickness of S-suborbital (left hemisphere),lh_S_suborbital
27473,Mean thickness of S-subparietal (left hemisphere),lh_S_subparietal
27474,Mean thickness of S-temporal-inf (left hemisphere),lh_S_temporal_inf
27475,Mean thickness of S-temporal-sup (left hemisphere),lh_S_temporal_sup
27476,Mean thickness of S-temporal-transverse (left hemisphere),lh_S_temporal_transverse
27625,Mean thickness of G+S-frontomargin (right hemisphere),rh_G_and_S_frontomargin
27626,Mean thickness of G+S-occipital-inf (right hemisphere),rh_G_and_S_occipital_inf
27627,Mean thickness of G+S-paracentral (right hemisphere),rh_G_and_S_paracentral
27628,Mean thickness of G+S-subcentral (right hemisphere),rh_G_and_S_subcentral
27629,Mean thickness of G+S-transv-frontopol (right hemisphere),rh_G_and_S_transv_frontopol
27630,Mean thickness of G+S-cingul-Ant (right hemisphere),rh_G_and_S_cingul_Ant
27631,Mean thickness of G+S-cingul-Mid-Ant (right hemisphere),rh_G_and_S_cingul_Mid_Ant
27632,Mean thickness of G+S-cingul-Mid-Post (right hemisphere),rh_G_and_S_cingul_Mid_Post
27633,Mean thickness of G-cingul-Post-dorsal (right hemisphere),rh_G_cingul_Post_dorsal
27634,Mean thickness of G-cingul-Post-ventral (right hemisphere),rh_G_cingul_Post_ventral
27635,Mean thickness of G-cuneus (right hemisphere),rh_G_cuneus
27636,Mean thickness of G-front-inf-Opercular (right hemisphere),rh_G_front_inf_Opercular
27637,Mean thickness of G-front-inf-Orbital (right hemisphere),rh_G_front_inf_Orbital
27638,Mean thickness of G-front-inf-Triangul (right hemisphere),rh_G_front_inf_Triangul
27639,Mean thickness of G-front-middle (right hemisphere),rh_G_front_middle
27640,Mean thickness of G-front-sup (right hemisphere),rh_G_front_sup
27641,Mean thickness of G-Ins-lg+S-cent-ins (right hemisphere),rh_G_Ins_lg_and_S_cent_ins
27642,Mean thickness of G-insular-short (right hemisphere),rh_G_insular_short
27643,Mean thickness of G-occipital-middle (right hemisphere),rh_G_occipital_middle
27644,Mean thickness of G-occipital-sup (right hemisphere),rh_G_occipital_sup
27645,Mean thickness of G-oc-temp-lat-fusifor (right hemisphere),rh_G_oc_temp_lat_fusifor
27646,Mean thickness of G-oc-temp-med-Lingual (right hemisphere),rh_G_oc_temp_med_Lingual
27647,Mean thickness of G-oc-temp-med-Parahip (right hemisphere),rh_G_oc_temp_med_Parahip
27648,Mean thickness of G-orbital (right hemisphere),rh_G_orbital
27649,Mean thickness of G-pariet-inf-Angular (right hemisphere),rh_G_pariet_inf_Angular
27650,Mean thickness of G-pariet-inf-Supramar (right hemisphere),rh_G_pariet_inf_Supramar
27651,Mean thickness of G-parietal-sup (right hemisphere),rh_G_parietal_sup
27652,Mean thickness of G-postcentral (right hemisphere),rh_G_postcentral
27653,Mean thickness of G-precentral (right hemisphere),rh_G_precentral
27654,Mean thickness of G-precuneus (right hemisphere),rh_G_precuneus
27655,Mean thickness of G-rectus (right hemisphere),rh_G_rectus
27656,Mean thickness of G-subcallosal (right hemisphere),rh_G_subcallosal
27657,Mean thickness of G-temp-sup-G-T-transv (right hemisphere),rh_G_temp_sup_G_T_transv
27658,Mean thickness of G-temp-sup-Lateral (right hemisphere),rh_G_temp_sup_Lateral
27659,Mean thickness of G-temp-sup-Plan-polar (right hemisphere),rh_G_temp_sup_Plan_polar
27660,Mean thickness of G-temp-sup-Plan-tempo (right hemisphere),rh_G_temp_sup_Plan_tempo
27661,Mean thickness of G-temporal-inf (right hemisphere),rh_G_temporal_inf
27662,Mean thickness of G-temporal-middle (right hemisphere),rh_G_temporal_middle
27663,Mean thickness of Lat-Fis-ant-Horizont (right hemisphere),rh_Lat_Fis_ant_Horizont
27664,Mean thickness of Lat-Fis-ant-Vertical (right hemisphere),rh_Lat_Fis_ant_Vertical
27665,Mean thickness of Lat-Fis-post (right hemisphere),rh_Lat_Fis_post
27666,Mean thickness of Pole-occipital (right hemisphere),rh_Pole_occipital
27667,Mean thickness of Pole-temporal (right hemisphere),rh_Pole_temporal
27668,Mean thickness of S-calcarine (right hemisphere),rh_S_calcarine
27669,Mean thickness of S-central (right hemisphere),rh_S_central
27670,Mean thickness of S-cingul-Marginalis (right hemisphere),rh_S_cingul_Marginalis
