idx_number,name,formatted_name
27477,Volume of G+S-frontomargin (left hemisphere),lh_G_and_S_frontomargin
27478,Volume of G+S-occipital-inf (left hemisphere),lh_G_and_S_occipital_inf
27479,Volume of G+S-paracentral (left hemisphere),lh_G_and_S_paracentral
27480,Volume of G+S-subcentral (left hemisphere),lh_G_and_S_subcentral
27481,Volume of G+S-transv-frontopol (left hemisphere),lh_G_and_S_transv_frontopol
27482,Volume of G+S-cingul-Ant (left hemisphere),lh_G_and_S_cingul_Ant
27483,Volume of G+S-cingul-Mid-Ant (left hemisphere),lh_G_and_S_cingul_Mid_Ant
27484,Volume of G+S-cingul-Mid-Post (left hemisphere),lh_G_and_S_cingul_Mid_Post
27485,Volume of G-cingul-Post-dorsal (left hemisphere),lh_G_cingul_Post_dorsal
27486,Volume of G-cingul-Post-ventral (left hemisphere),lh_G_cingul_Post_ventral
27487,Volume of G-cuneus (left hemisphere),lh_G_cuneus
27488,Volume of G-front-inf-Opercular (left hemisphere),lh_G_front_inf_Opercular
27489,Volume of G-front-inf-Orbital (left hemisphere),lh_G_front_inf_Orbital
27490,Volume of G-front-inf-Triangul (left hemisphere),lh_G_front_inf_Triangul
27491,Volume of G-front-middle (left hemisphere),lh_G_front_middle
27492,Volume of G-front-sup (left hemisphere),lh_G_front_sup
27493,Volume of G-Ins-lg+S-cent-ins (left hemisphere),lh_G_Ins_lg_and_S_cent_ins
27494,Volume of G-insular-short (left hemisphere),lh_G_insular_short
27495,Volume of G-occipital-middle (left hemisphere),lh_G_occipital_middle
27496,Volume of G-occipital-sup (left hemisphere),lh_G_occipital_sup
27497,Volume of G-oc-temp-lat-fusifor (left hemisphere),lh_G_oc_temp_lat_fusifor
27498,Volume of G-oc-temp-med-Lingual (left hemisphere),lh_G_oc_temp_med_Lingual
27499,Volume of G-oc-temp-med-Parahip (left hemisphere),lh_G_oc_temp_med_Parahip
27500,Volume of G-orbital (left hemisphere),lh_G_orbital
27501,Volume of G-pariet-inf-Angular (left hemisphere),lh_G_pariet_inf_Angular
27502,Volume of G-pariet-inf-Supramar (left hemisphere),lh_G_pariet_inf_Supramar
27503,Volume of G-parietal-sup (left hemisphere),lh_G_parietal_sup
27504,Volume of G-postcentral (left hemisphere),lh_G_postcentral
27505,Volume of G-precentral (left hemisphere),lh_G_precentral
27506,Volume of G-precuneus (left hemisphere),lh_G_precuneus
27507,Volume of G-rectus (left hemisphere),lh_G_rectus
27508,Volume of G-subcallosal (left hemisphere),lh_G_subcallosal
27509,Volume of G-temp-sup-G-T-transv (left hemisphere),lh_G_temp_sup_G_T_transv
27510,Volume of G-temp-sup-Lateral (left hemisphere),lh_G_temp_sup_Lateral
27511,Volume of G-temp-sup-Plan-polar (left hemisphere),lh_G_temp_sup_Plan_polar
27512,Volume of G-temp-sup-Plan-tempo (left hemisphere),lh_G_temp_sup_Plan_tempo
27513,Volume of G-temporal-inf (left hemisphere),lh_G_temporal_inf
27514,Volume of G-temporal-middle (left hemisphere),lh_G_temporal_middle
27515,Volume of Lat-Fis-ant-Horizont (left hemisphere),lh_Lat_Fis_ant_Horizont
27516,Volume of Lat-Fis-ant-Vertical (left hemisphere),lh_Lat_Fis_ant_Vertical
27517,Volume of Lat-Fis-post (left hemisphere),lh_Lat_Fis_post
27518,Volume of Pole-occipital (left hemisphere),lh_Pole_occipital
27519,Volume of Pole-temporal (left hemisphere),lh_Pole_temporal
27520,Volume of S-calcarine (left hemisphere),lh_S_calcarine
27521,Volume of S-central (left hemisphere),lh_S_central
27522,Volume of S-cingul-Marginalis (left hemisphere),lh_S_cingul_Marginalis
27523,Volume of S-circular-insula-ant (left hemisphere),lh_S_circular_insula_ant
27524,Volume of S-circular-insula-inf (left hemisphere),lh_S_circular_insula_inf
27525,Volume of S-circular-insula-sup (left hemisphere),lh_S_circular_insula_sup
