idx_number,name,formatted_name
27329,Area of G+S-frontomargin (left hemisphere),lh_G_and_S_frontomargin
27330,Area of G+S-occipital-inf (left hemisphere),lh_G_and_S_occipital_inf
27331,Area of G+S-paracentral (left hemisphere),lh_G_and_S_paracentral
27332,Area of G+S-subcentral (left hemisphere),lh_G_and_S_subcentral
27333,Area of G+S-transv-frontopol (left hemisphere),lh_G_and_S_transv_frontopol
27334,Area of G+S-cingul-Ant (left hemisphere),lh_G_and_S_cingul_Ant
27335,Area of G+S-cingul-Mid-Ant (left hemisphere),lh_G_and_S_cingul_Mid_Ant
27336,Area of G+S-cingul-Mid-Post (left hemisphere),lh_G_and_S_cingul_Mid_Post
27337,Area of G-cingul-Post-dorsal (left hemisphere),lh_G_cingul_Post_dorsal
27338,Area of G-cingul-Post-ventral (left hemisphere),lh_G_cingul_Post_ventral
27339,Area of G-cuneus (left hemisphere),lh_G_cuneus
27340,Area of G-front-inf-Opercular (left hemisphere),lh_G_front_inf_Opercular
27341,Area of G-front-inf-Orbital (left hemisphere),lh_G_front_inf_Orbital
27342,Area of G-front-inf-Triangul (left hemisphere),lh_G_front_inf_Triangul
27343,Area of G-front-middle (left hemisphere),lh_G_front_middle
27344,Area of G-front-sup (left hemisphere),lh_G_front_sup
27345,Area of G-Ins-lg+S-cent-ins (left hemisphere),lh_G_Ins_lg_and_S_cent_ins
27346,Area of G-insular-short (left hemisphere),lh_G_insular_short
27347,Area of G-occipital-middle (left hemisphere),lh_G_occipital_middle
27348,Area of G-occipital-sup (left hemisphere),lh_G_occipital_sup
27349,Area of G-oc-temp-lat-fusifor (left hemisphere),lh_G_oc_temp_lat_fusifor
27350,Area of G-oc-temp-med-Lingual (left hemisphere),lh_G_oc_temp_med_Lingual
27351,Area of G-oc-temp-med-Parahip (left hemisphere),lh_G_oc_temp_med_Parahip
27352,Area of G-orbital (left hemisphere),lh_G_orbital
27353,Area of G-pariet-inf-Angular (left hemisphere),lh_G_pariet_inf_Angular
27354,Area of G-pariet-inf-Supramar (left hemisphere),lh_G_pariet_inf_Supramar
27355,Area of G-parietal-sup (left hemisphere),lh_G_parietal_sup
27356,Area of G-postcentral (left hemisphere),lh_G_postcentral
27357,Area of G-precentral (left hemisphere),lh_G_precentral
27358,Area of G-precuneus (left hemisphere),lh_G_precuneus
27359,Area of G-rectus (left hemisphere),lh_G_rectus
27360,Area of G-subcallosal (left hemisphere),lh_G_subcallosal
27361,Area of G-temp-sup-G-T-transv (left hemisphere),lh_G_temp_sup_G_T_transv
27362,Area of G-temp-sup-Lateral (left hemisphere),lh_G_temp_sup_Lateral
27363,Area of G-temp-sup-Plan-polar (left hemisphere),lh_G_temp_sup_Plan_polar
27364,Area of G-temp-sup-Plan-tempo (left hemisphere),lh_G_temp_sup_Plan_tempo
27365,Area of G-temporal-inf (left hemisphere),lh_G_temporal_inf
